City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
228,Naze,JP,28.3667,129.4833,74.77,81,100,15.73,overcast clouds
229,Sorong,ID,-0.8833,131.25,84.2,72,20,4.79,few clouds
230,Mianwali,PK,32.5741,71.5264,63.52,33,0,2.73,clear sky
231,Lavrentiya,RU,65.5833,-171.0,14.67,91,51,2.39,broken clouds
232,Hervey Bay,AU,-25.2986,152.8535,76.15,77,100,5.48,light rain
233,Marrakesh,MA,31.6315,-8.0083,51.87,62,0,2.3,clear sky
234,Camalu,MX,30.85,-116.0667,57.34,76,1,7.25,clear sky
235,Serebryansk,KZ,49.6925,83.2892,-17.52,90,31,4.61,scattered clouds
236,Shimoda,JP,34.6667,138.95,66.11,78,96,20.87,light rain
237,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,33,0,27.63,clear sky
238,Berezovyy,RU,51.6667,135.7,10.09,90,100,4.9,snow
239,Anchorage,US,61.2181,-149.9003,9.66,85,0,4.61,clear sky
240,Westport,US,41.1415,-73.3579,44.33,71,0,5.75,clear sky
241,Ulaanbaatar,MN,47.9077,106.8832,-16.47,58,0,4.47,clear sky
242,Guamuchil,MX,25.4667,-108.1,63.68,38,0,1.16,clear sky
243,Alexandria,EG,31.2156,29.9553,64.72,56,1,8.3,clear sky
244,Constitucion,CL,-35.3333,-72.4167,54.57,94,47,6.82,scattered clouds
245,Port Elizabeth,ZA,-33.918,25.5701,65.32,96,50,3.0,scattered clouds
246,Awjilah,LY,29.1081,21.2869,54.09,78,0,5.39,clear sky
247,Upernavik,GL,72.7868,-56.1549,8.24,98,100,19.42,light snow
248,Narasannapeta,IN,18.4167,84.05,72.88,55,9,5.32,clear sky
249,Rio Claro,BR,-22.4114,-47.5614,63.07,93,97,1.36,overcast clouds
250,Taseyevo,RU,57.2169,94.8978,-1.53,86,100,9.95,overcast clouds
251,Cockburn Town,TC,21.4612,-71.1419,80.24,71,47,12.91,scattered clouds
252,Codrington,AU,-38.2667,141.9667,60.75,59,100,14.34,overcast clouds
253,Ulladulla,AU,-35.35,150.4667,66.52,54,14,12.41,few clouds
254,Yafran,LY,32.0633,12.5286,56.35,66,96,11.88,light rain
255,Xining,CN,36.6167,101.7667,18.25,56,14,6.49,few clouds
256,Ahipara,NZ,-35.1667,173.1667,63.32,88,100,8.88,light rain
257,Cabadiangan,PH,9.7531,122.4739,87.01,64,80,12.82,broken clouds
258,Tupelo,US,34.2576,-88.7034,50.29,83,0,0.0,clear sky
259,Sambava,MG,-14.2667,50.1667,71.89,84,0,6.13,clear sky
260,Alta Floresta,BR,-9.8756,-56.0861,69.64,97,100,4.0,overcast clouds
261,Saint George,US,37.1041,-113.5841,43.95,42,0,3.0,clear sky
262,Oranjestad,AW,12.524,-70.027,79.92,83,100,3.0,overcast clouds
263,Kastamonu,TR,41.5,33.6667,34.95,86,86,1.7,overcast clouds
264,Haapiti,PF,-17.5667,-149.8667,82.13,76,58,10.87,broken clouds
265,Bandarbeyla,SO,9.4942,50.8122,75.29,76,41,13.58,scattered clouds
266,Trat,TH,12.5,102.5,86.92,76,86,1.72,overcast clouds
267,Allapalli,IN,19.4167,80.0667,67.66,49,4,1.14,clear sky
268,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,71,100,14.0,overcast clouds
269,Ternate,ID,0.8,127.4,84.31,74,79,10.47,broken clouds
270,Saint-Leu,RE,-21.15,55.2833,79.32,70,70,2.46,broken clouds
271,Limbang,MY,4.75,115.0,89.71,60,96,0.98,overcast clouds
272,Kolondieba,ML,11.0882,-6.8926,69.84,27,54,3.44,broken clouds
273,Kesinga,IN,20.2,83.2333,66.49,55,0,0.89,clear sky
274,Vernashen,AM,39.7924,45.3639,33.91,73,31,3.22,scattered clouds
275,Vera Cruz,BR,-12.6333,-41.0333,67.75,99,100,3.69,overcast clouds
276,Vitim,RU,59.4511,112.5578,-11.33,95,100,5.61,overcast clouds
277,Pevek,RU,69.7008,170.3133,17.76,71,100,14.72,overcast clouds
278,Cherskiy,RU,68.75,161.3,4.87,96,100,7.34,overcast clouds
279,Bilibino,RU,68.0546,166.4372,11.98,88,100,5.23,overcast clouds
280,Celestun,MX,20.8667,-90.4,81.41,74,92,11.5,overcast clouds
281,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,3.44,mist
282,Miyako,JP,39.6367,141.9525,63.03,76,100,16.13,overcast clouds
283,Vestmannaeyjar,IS,63.4427,-20.2734,41.07,83,100,18.52,overcast clouds
284,Port Keats,AU,-14.25,129.55,86.95,64,100,8.97,overcast clouds
285,Fatehabad,IN,29.5167,75.45,62.74,28,30,2.66,scattered clouds
286,Poum,NC,-20.2333,164.0167,81.68,79,56,16.91,broken clouds
287,Bucerias,MX,20.75,-105.3333,72.99,83,0,0.0,clear sky
288,Meulaboh,ID,4.1363,96.1285,81.34,78,97,1.12,overcast clouds
289,Byron Bay,AU,-28.65,153.6167,83.71,69,49,13.18,scattered clouds
290,Komatsu,JP,36.4026,136.4509,72.82,65,90,18.5,light rain
291,Aguadilla,PR,18.4275,-67.1541,78.35,87,7,1.01,clear sky
292,Tibu,CO,8.639,-72.7358,71.2,99,99,2.04,overcast clouds
293,Shitanjing,CN,39.2342,106.3439,4.55,25,100,11.41,overcast clouds
294,Prince Rupert,CA,54.3161,-130.3201,31.03,62,60,5.68,broken clouds
295,Chicama,PE,-7.8447,-79.1469,66.74,83,98,3.76,overcast clouds
296,Carman,CA,49.4992,-98.0016,22.89,77,15,14.63,few clouds
297,Ambilobe,MG,-13.2,49.05,72.86,78,0,2.66,clear sky
298,Fandriana,MG,-20.2333,47.3833,62.15,82,7,2.35,clear sky
299,Fortuna,US,40.5982,-124.1573,44.65,92,0,5.75,clear sky
300,Aklavik,CA,68.2191,-135.0107,-25.31,95,16,6.58,few clouds
301,Taltal,CL,-25.4,-70.4833,63.18,83,4,2.17,clear sky
302,Kakonko,TZ,-3.2828,30.9642,62.94,93,100,2.1,light rain
303,Oistins,BB,13.0667,-59.5333,78.89,78,20,16.11,few clouds
304,Creel,MX,27.75,-107.6333,38.52,25,0,7.18,clear sky
305,Mersing,MY,2.4312,103.8405,85.42,67,79,8.77,broken clouds
306,Yulara,AU,-25.2406,130.9889,81.66,23,0,12.37,clear sky
307,Kaduy,RU,59.2,37.15,15.94,96,100,4.21,overcast clouds
308,Buala,SB,-8.145,159.5921,82.58,76,100,5.73,light rain
309,Ouesso,CG,1.6136,16.0517,68.72,98,62,1.03,broken clouds
310,Umm Kaddadah,SD,13.6017,26.6876,69.55,29,82,7.34,broken clouds
311,Kavaratti,IN,10.5669,72.642,81.5,69,79,3.24,broken clouds
312,Marsh Harbour,BS,26.5412,-77.0636,77.45,76,100,10.65,overcast clouds
313,Joshimath,IN,30.5667,79.5667,58.26,14,0,4.52,clear sky
314,Tabou,CI,4.423,-7.3528,76.46,86,36,6.8,scattered clouds
315,Stans,CH,46.9585,8.366,45.48,91,100,2.3,light intensity drizzle
316,Altay,CN,47.8667,88.1167,-4.02,55,0,6.08,clear sky
