City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
213,The Valley,AI,80.1,18.217,-63.0578,overcast clouds,CeBlue Villas & Beach Resort
214,Noumea,NC,84.18,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
216,Rabo De Peixe,PT,67.28,37.8,-25.5833,broken clouds,Quinta das Giestas
221,Bathsheba,BB,79.41,13.2167,-59.5167,few clouds,Atlantis Hotel
222,Fukue,JP,69.28,32.6881,128.8419,overcast clouds,Goto Guesthouse Utojuku & SA Car Rental
223,Ler,SS,74.77,8.3018,30.1418,few clouds,Leer Humanitarian Hub
225,Nabire,ID,87.08,-3.3667,135.4833,broken clouds,Hotel Nusantara I
228,Naze,JP,74.77,28.3667,129.4833,overcast clouds,Shishime Hotel
229,Sorong,ID,84.2,-0.8833,131.25,few clouds,Waigo Splash Hotel
232,Hervey Bay,AU,76.15,-25.2986,152.8535,light rain,Shelly Bay Resort
236,Shimoda,JP,66.11,34.6667,138.95,light rain,Shimoda Tokyu Hotel
237,Comodoro Rivadavia,AR,71.46,-45.8667,-67.5,clear sky,Austral Hotel
245,Port Elizabeth,ZA,65.32,-33.918,25.5701,scattered clouds,39 On Nile Guest House
248,Narasannapeta,IN,72.88,18.4167,84.05,clear sky,AVK events and catering
251,Cockburn Town,TC,80.24,21.4612,-71.1419,scattered clouds,Osprey Beach Hotel
253,Ulladulla,AU,66.52,-35.35,150.4667,few clouds,Sandpiper Motel
257,Cabadiangan,PH,87.01,9.7531,122.4739,broken clouds,Kipot
259,Sambava,MG,71.89,-14.2667,50.1667,clear sky,Melrose
260,Alta Floresta,BR,69.64,-9.8756,-56.0861,overcast clouds,Floresta Amazonica Hotel
262,Oranjestad,AW,79.92,12.524,-70.027,overcast clouds,Divi Village Golf & Beach Resort
264,Haapiti,PF,82.13,-17.5667,-149.8667,broken clouds,Linareva Moorea Beach Resort
265,Bandarbeyla,SO,75.29,9.4942,50.8122,scattered clouds,JABIR HOTEL
266,Trat,TH,86.92,12.5,102.5,overcast clouds,สวนหนิง-อัศ
267,Allapalli,IN,67.66,19.4167,80.0667,clear sky,"Hotel IK Residency, GUEST HOUSE AC NON AC"
268,Los Llanos De Aridane,ES,65.95,28.6585,-17.9182,overcast clouds,Valle Aridane
269,Ternate,ID,84.31,0.8,127.4,broken clouds,Sahid Bela Ternate Hotel
270,Saint-Leu,RE,79.32,-21.15,55.2833,broken clouds,La Caz Oceane
271,Limbang,MY,89.71,4.75,115.0,overcast clouds,Purnama Hotel
272,Kolondieba,ML,69.84,11.0882,-6.8926,broken clouds,Park
273,Kesinga,IN,66.49,20.2,83.2333,clear sky,Hotel Jayashree
275,Vera Cruz,BR,67.75,-12.6333,-41.0333,overcast clouds,
280,Celestun,MX,81.41,20.8667,-90.4,overcast clouds,Posada Lilia
284,Port Keats,AU,86.95,-14.25,129.55,overcast clouds,Kardu Durrikardu Numida Hostel
286,Poum,NC,81.68,-20.2333,164.0167,broken clouds,
287,Bucerias,MX,72.99,20.75,-105.3333,clear sky,Royal Decameron Complex - Puerto Vallarta
288,Meulaboh,ID,81.34,4.1363,96.1285,overcast clouds,Kost Pria
289,Byron Bay,AU,83.71,-28.65,153.6167,scattered clouds,Backpackers Inn
290,Komatsu,JP,72.82,36.4026,136.4509,light rain,APAHOTEL KOMATSU GRAND
291,Aguadilla,PR,78.35,18.4275,-67.1541,clear sky,WSSM Surf House
292,Tibu,CO,71.2,8.639,-72.7358,overcast clouds,Hotel Yuliana's
295,Chicama,PE,66.74,-7.8447,-79.1469,overcast clouds,Balihai Bungalows
297,Ambilobe,MG,72.86,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
303,Oistins,BB,78.89,13.0667,-59.5333,few clouds,Butterfly Beach Hotel
305,Mersing,MY,85.42,2.4312,103.8405,broken clouds,Riverside Hotel
